countycode,Electronic_prescriptions,Opioid,Population,Male,White,Poverty ,Income,Hospitals,Pharmacies
9003,3545,0,68628,70005,34592,66026,6506,91,6829
9005,228,23.5,289977,286119,139036,272011,21477,93,1217
9007,251,0,29991,30402,14937,29424,2542,92,1744
9009,2476,0,54659,54658,26696,53116,4948,91,2351
9011,594,21.7,119980,121112,58759,116775,8467,93,951
9013,131,0,39855,39723,19682,39012,3481,91,1142
9015,165,0,33969,34156,16673,33213,3129,91,700
10003,3639,12.8,556779,549643,265915,376759,28078,95,494
12001,0,0,259964,254218,122968,186316,27103,90,969
12011,0,5.3,1896425,1843152,894820,1239767,261839,86,1320
12031,0,13.1,913010,890673,431732,576043,102384,89,918
12057,0,9,1349050,1302884,635632,1030944,169320,87,1266
12071,0,12.3,701982,663675,325158,617236,100793,86,1212
12081,0,34.4,363369,343729,166067,317344,48161,87,893
12086,0,5,2693117,2639042,1280221,2118080,473278,82,2430
12095,0,12.1,1288126,1229039,603946,901832,175327,86,1004
12099,0,9.9,1422789,1378806,666577,1090685,185701,87,2387
12101,0,8.4,497909,479288,232719,449977,53530,89,868
12103,0,6.7,949827,931477,446740,799075,102762,89,608
12115,0,20,405549,392038,187242,375056,41835,90,725
12117,0,11.8,449144,437346,211546,366747,45214,90,345
12127,0,16.4,517887,503719,245481,442906,59477,89,1433
13073,495,0,144052,136204,66418,110131,14586,90,308
13121,6954,9.7,1010562,983903,478161,476409,121648,88,535
15003,1196,4.4,998714,984178,498129,270757,35329,96,2127
17031,0,10.5,5238216,5236393,2537245,3487259,475088,91,1635
17043,0,8.4,933736,930412,456274,763286,47224,95,337
17097,0,9.8,703910,702898,350658,585034,48591,93,1368
17119,0,25.2,266209,267356,130741,237433,12404,95,740
17197,0,11.5,687263,683995,339609,557310,36123,95,849
18097,537,9.8,939020,926335,446372,629190,111205,88,403
21067,1461,31.2,314488,308306,151459,250047,21391,93,286
23001,582,0,57202,57421,28446,55976,5009,91,2175
23003,291,16.4,152692,153437,75714,146833,13784,91,3556
23005,1214,0,16931,17156,8552,16510,1475,91,4378
23007,160,0,35149,35092,16894,34197,2239,94,370
23009,224,0,51113,51577,25399,49950,4483,91,4096
23011,491,0,39155,38976,19155,38291,3681,91,853
23013,197,0,31625,32191,15874,29287,3728,88,3255
23015,126,20.4,201169,199682,97075,195135,15754,92,1271
23017,253,0,15702,15839,8064,14989,734,95,1995
23019,646,7,344151,338764,169586,301914,13383,96,446
23021,18,0,33386,33138,16601,29763,1786,95,1445
23023,191,0,45672,45434,22740,34361,3186,93,3056
23025,137,0,39710,39221,19500,37686,1454,96,413
23027,167,0,5040,5134,2496,4953,215,96,528
23029,48,0,65787,65125,32760,61011,2407,96,766
23031,1061,0,25313,25391,12620,24888,825,97,619
